Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
39325_at	-18	-8.1	-8	-2.85	-7	-13.85	-29.5	-42.05
39326_at	1180.6	2046.5	258.85	375.75	-42.5	51.25	-111.15	-558.75
39327_at	4.35	50.75	201.35	176	169.15	298	68.65	144
39328_at	92.25	132.25	483.65	599.85	127.9	282.6	4.1	34.75
39329_at	112	278.75	94.4	121.9	207.6	604.5	26	66.5
39330_s_at	176.75	376.25	85.9	101	205.1	605.35	104.75	436.75
39331_at	5510.25	8886.6	9432.1	13831.5	847.6	1927.5	525.65	923.15
39332_at	2991.85	4272.4	11894.6	17233	404	727.35	93.9	182.6
39333_at	22.3	50.75	184.5	247.85	374.6	935.25	21.75	16.1
39334_s_at	-47.45	-1.35	51.85	-60.15	-105.75	-207.25	21.9	-14
39335_at	-5.4	-0.6	14.75	-2.5	29.35	-18.6	-3.25	-4.65
39336_at	3704.5	6729.45	1757	2115.4	243.4	545.1	135.35	436.75
39337_at	160.35	266.35	348.6	408.75	277	821.95	31.5	68
39338_at	76.6	177	37.9	81.65	404.65	1032.25	305.6	473.9
39339_at	363.3	654.9	35.75	13	70.35	160.4	238.6	629.25
39340_at	58	119.25	-32.1	34.15	185	326.9	70.75	34.15
39341_at	121.85	217.5	-19.1	34.9	119.75	189.1	110.75	240.5
39342_at	199.5	403.1	172.1	260.4	146.4	399.1	97.2	196.5
39343_at	245.1	237.4	253.4	324.1	111.5	351.4	110.5	282.9
39344_at	83.4	111.5	270.4	318.4	41.75	202.25	21.9	49.25
39345_at	306.9	326	79.35	82.6	403.75	972.35	220.6	435.5
39346_at	239.4	410.5	655.7	826.55	110.5	354.5	17.75	42.1
39347_at	1612.15	2447.1	513.75	754.65	1340.4	2622.35	817	1544
39348_at	547	614.3	474.15	747.3	20.5	23.65	-16.4	-79.65
39349_at	6.5	17.6	8.1	19.4	23.75	5.85	4.3	39.85
39350_at	18	30.1	34.25	33.65	4015.5	6915.5	10	18.35
39351_at	209.35	120.9	95.75	145.75	83.5	218.6	61.85	54.4
39352_at	9.6	-7	-7.25	22.4	67.1	154.75	-24.05	11.95
39353_at	291.9	288.65	244.5	315.05	589.75	1693	154	274
39354_at	159.65	265.65	70.25	104.5	258.85	586.6	200.9	507.25
39355_at	48.5	58.75	45	88.9	2.35	37.75	26.25	35.25
39356_at	144.25	161.15	319	314.75	122.5	258	42.1	91.25
39357_at	12.35	41.5	-8.95	-14.65	54.05	72.1	53.25	8.65
39358_at	526.5	1099.6	389.5	477.75	208.7	442.25	145.5	428.65
39359_s_at	-129.5	-147.5	-118	-87.4	-194.6	-199.1	-112.7	-305.3
39360_at	1714.5	2410.25	1028	1524	1463.8	3702.5	347.75	589.65
39361_f_at	5.15	16.75	13.25	31.15	73.9	170.5	51.15	27.65
39362_r_at	13.35	2.35	14	26.35	88.9	393	31.5	87.5
39363_at	440.4	679.65	214.5	367.6	424.25	798.25	364.6	746.75
39364_s_at	32.95	239.65	85.9	120.65	191.4	471.5	24.35	80.25
39365_i_at	14.7	21	7.3	20	17.2	148	12.2	40
39366_at	351.15	460.5	128.6	168.35	784	1926.1	148.35	259.4
39367_at	107.5	150.5	141.6	182.5	151.3	413.75	71.85	169.5
39368_at	50	80.9	125.25	147	90.75	161.4	-5.25	13
39369_at	24.25	103.25	20.1	62.1	-12.35	-17	-21.2	-49.5
39370_at	1276.25	1752.65	447.75	693.5	311.25	755.45	7.15	7.85
39371_at	3.25	41.4	29.85	-3.7	33.4	59.35	28.7	59
39372_at	307.4	520.6	254	381	404.65	1041.35	50.6	62.25
39373_at	308.8	226.45	273.95	373.35	328.25	858.25	63.9	162.85
39374_at	-11.5	-0.25	15	9.8	-7.5	41.45	-24.6	-27.8
39375_g_at	5.65	-15.25	16.1	-13.8	37.25	37	-28.85	-27.4
39376_at	260	419.35	222.85	309.85	160.15	451.1	27.85	37.1
39377_at	80.15	124.85	137.75	153	77.75	200.65	32.4	79.15
39378_at	974	1428.85	588.85	774.65	573.45	1084.5	162.4	338
39379_at	55.15	46.7	91.9	129.35	72.65	104.6	8.65	39.25
39380_at	147.45	197.1	330.5	397.85	43.5	118.75	10	45.5
39381_at	104.65	113.4	124	126.5	42.75	117.6	7.85	13.15
39382_at	1074.9	1157.85	2191.4	3232.7	36.05	50.15	11.5	23.4
39383_at	144.4	211.15	225.35	266.55	168.4	216.25	103.25	163.85
39384_at	9.9	11.1	47	57	-9.1	-4.75	4.75	-1.35
39385_at	31.75	77.1	-2.25	13.4	1140.3	2033.6	1705.85	2362.8
39386_at	162.9	228.15	72.35	158.6	78.35	343	32.3	36.25
39387_at	15.75	26.65	12.2	34.85	27.9	50.25	-1.15	3.9
39388_at	1046.75	1860.65	239.25	307.65	37.5	69.25	24.15	61.85
39389_at	293	418.15	66.25	140.75	124.15	429	70.65	108.75
39390_at	29.9	15.15	50	48.4	15.65	23.6	-1.6	-21.25
39391_at	79.75	100.6	80	62.15	11.35	58.25	-8.1	-23.1
39392_at	75.45	82.65	69.45	140	62.25	134.35	24	31
39393_r_at	-8	-3.2	-6	3.65	3439.75	7551.05	2359.15	7064.6
39394_at	145.65	184.9	76.6	147.5	102.5	387.65	58.05	191
39395_at	1472.4	2415.4	235.5	375.25	-20.9	-21.5	-2.4	-51
39396_at	88.75	111	149	221.2	156	519.6	47.2	69
39397_at	84.35	116.9	229.65	259.25	108.6	332.5	92.25	125.85
39398_s_at	36.65	161.75	41.25	94.1	-17.15	68	-30.1	-19.75
39399_at	31.6	47.1	-3.5	38.5	348.4	527	21.4	60
394_at	6.7	32.25	39.15	29.6	21.15	40	-2.6	-38.5
39400_at	119	300.05	111	167.35	240.75	463.65	114.5	209.4
39401_at	548.4	1032.75	622	784.6	285.15	612.75	96.95	345.25
39402_at	11	8	38.9	-3.7	25.45	-7.65	0.25	3.4
39403_at	33.35	14.25	50.1	85.5	10.1	24.35	7.15	22.9
39404_s_at	271.9	696.85	260.1	325.6	267.75	668.75	135.5	329.35
39405_at	111.1	65.25	166.25	155.75	33.65	67.85	1	-9.6
39406_at	-47.55	-130	6.25	-12	26.25	57.25	-8.5	26.15
39407_at	-49.65	-21.25	-9	-20.5	-2.5	13.15	-8.5	-21.25
39408_at	100.1	213.75	97.9	94.25	290.1	692.75	605.6	1303
39409_at	19.85	28.35	60.25	42.15	1285.65	2443.5	1650	3287.75
39410_at	46.25	29	37.6	72	14.15	10.25	5.25	9.4
39411_at	100	122.65	81.1	90.25	69.85	238	26.75	62.75
39412_at	337.25	521.3	149.7	165.8	226.8	442.35	526.6	772.6
39413_at	-7.65	-17.25	4.75	21.25	-21.1	-34.5	-11.4	-18.5
39414_at	7.1	-14	8.3	14.1	-6.5	13.75	-3.65	-8.4
39415_at	1166.75	1723	2798.3	3654.1	1463.4	3643.15	387.4	1414.3
39416_at	480.85	959	375.25	520.65	518.85	1086.35	253.5	323.75
39417_at	119.3	144	349.15	353.6	-13.25	10.35	0.25	-21.25
39418_at	116.75	89.8	100.35	265.5	17.5	177	16.75	72.9
39419_at	83	77.25	90	139	15.9	65.65	10.25	-17.25
39420_at	206	149.75	-48.5	-18.4	58.25	85.9	25.5	-32.15
39421_at	-4.5	11.1	7.15	-19.65	11.1	-3.75	-13	-18.35
39422_at	99.25	100.35	141.6	240.15	11.25	35.5	15.1	29.1
39423_f_at	154.75	242.15	27.75	96.15	41.6	140.6	16.65	72
39424_at	53	59.9	49.35	69.75	183.6	167	131	184.25
39425_at	182.15	255	253	343.15	157.65	438.35	70.1	96.25
39426_at	34	56.5	100.1	177.4	13.65	45.35	5.3	10
39427_at	1053.15	1369	837	1279.25	440.25	1084.5	288	469.15
39428_at	84.5	235.85	131.15	100.85	262.4	605.6	133.35	230.75
39429_at	178.35	146.35	114.1	197.1	72.55	114.15	31.4	59.35
39430_at	126.25	212.6	211.1	390.5	21.65	35.9	2.85	49.65
39431_at	80.25	125.2	212	327	5.7	5	-19.5	-27.35
39432_at	43	30.4	48.9	56.25	0.7	76.5	1.5	-32.15
39433_at	23.9	26.75	12.4	41.4	-28.1	-75.25	-17.4	-80.6
39434_at	58.35	88.1	94.35	200.25	49.9	111.75	11.85	0.15
39435_at	670.65	1063.5	309.6	458.9	220	376.75	204.15	313
39436_at	563.9	478.6	850.4	1016.4	1406.75	3675.5	111.5	71.75
39437_at	515.5	1047.4	230	318.75	136.35	323.75	195	355.35
39438_at	51	48.9	32.1	55.5	11.15	46.25	26	12
39439_at	-10.85	11.5	-46.5	-42.5	-15.75	-7.5	-30.65	-57.5
39440_f_at	14	15.65	16	11.75	20.15	24	14.75	105.25
39441_at	866.75	839	568.5	601.85	90.4	177.9	36.85	80.9
39442_at	75	96.25	70.75	92	31.85	127.45	42	26.5
39443_s_at	1572.65	1937.35	400.6	534.35	1014.1	2496.65	829.4	854.1
39444_at	18.65	13.4	106.6	138.15	15.15	56.75	-6.5	-16.15
39445_at	401.3	722.3	379.9	389.25	350.5	804	185.8	365.65
39446_s_at	7.6	0.65	19.3	24	12.25	25.5	18.75	27.65
39447_f_at	30.25	27.65	43.85	29.5	86.6	89.15	17.4	134.5
39448_r_at	216	492.5	268.5	271	210.1	496.75	319.25	588.65
39449_at	-16.25	9.1	4.5	0.95	5	13.4	4.5	4.95
39450_s_at	152.1	234.9	252.5	210.35	167.75	314.5	85.5	270.65
39451_i_at	233.7	224.3	209	278.3	143	452	139	235
39452_s_at	6.4	20	28.4	42.25	1.9	82.15	6	-8.5
39453_at	-9.55	35.4	22.9	18.5	24.2	13.1	6.95	14.65
39454_f_at	-47	-147.3	-43.7	-184	7	61.7	-36.5	21.5
39455_r_at	-137	-155.25	-116	-79.1	-132	-226.4	-103.55	-224.85
39456_at	20.25	20.5	6.4	27.5	0.5	13.65	17.75	16.9
39457_r_at	6.2	2.5	6.5	9.5	7.9	-8.6	-3.9	-2.1
39458_s_at	-0.4	17	54.9	7.25	44.75	33.1	13.75	18.6
39459_at	99.15	37.6	75.9	48.6	33.75	202.4	88.65	169
39460_g_at	9.5	29.75	15.75	16.75	34.4	25.15	10.9	36
39461_s_at	21.1	15.6	10.1	43.5	1.25	65.75	2	22.65
39462_s_at	9.85	-0.35	30.4	10.75	-5.3	4	10.75	11.85
39463_at	-1.9	5.75	1.1	-2	-9.15	-24.25	-4.5	-1.1
39464_at	-17.1	20.5	-6.85	-3.25	15.5	20.9	-10.6	-6
39465_f_at	-37	-15.65	-53.35	-62.15	-30.1	-64.6	-4.35	-41.65
39466_s_at	-16.35	-15.75	-4	-18.65	-9.75	-12.8	-22.6	-34.2
39467_f_at	30.5	20.85	16.65	67.35	53	44.25	32.25	86.4
39468_r_at	37.9	1.5	47.25	12.25	0.75	-0.5	1.4	21.15
39469_s_at	30.15	-22.15	28	24.7	20.2	6.75	33	74.35
39470_at	35.3	18.7	33	28.15	41.9	76	6.9	24.65
39471_at	32.65	91.25	262	348.5	53	93.5	25.6	77
39472_s_at	76.75	93.6	187.4	186.25	188.15	353.75	79.5	272.75
39473_r_at	420.7	657.6	547.5	551.6	412.85	137.4	325.35	495.35
39474_s_at	67.85	84.9	116.85	73	118	90.9	96.9	202
39475_at	-43.1	-58.15	-35.05	-64.25	9.75	-36.75	-42.85	-56.8
39476_at	8.9	7.25	-6.6	-0.65	11.85	11.7	-0.65	-4.35
39477_s_at	33.95	51.6	19.5	17.05	31.9	54.7	6.25	-18.4
39478_at	-12.85	-36.55	-28.5	-3.1	11.6	-11	-7.6	6.35
39479_g_at	-6.5	-4.4	21.65	6	-17.1	-29.6	-11.5	-28.5
39480_s_at	-24.65	-13.4	33	22.5	7.65	48.5	-5	42.5
39481_at	-2.35	-23.65	-25.65	-8	-14.05	18.15	-6.35	-37.45
39482_at	27	32.25	58.75	9	38.35	-6.5	48.65	-9.25
39483_s_at	-3.9	-25	26	19.9	-13.7	44.25	11.6	59.1
39484_at	22	74	22	36.35	50.25	61.75	19	12.35
39485_g_at	-2.9	-0.9	23.15	15.6	-10.75	23.9	16.35	-17.5
39486_s_at	21	11.35	24.25	32.65	42.5	57.25	39	31.25
39487_at	-10.9	-0.85	5.85	-5	-11.5	-19.75	-18.5	-22.95
39488_at	5.6	5.85	-2.5	-3	-15.4	-0.15	3.5	1.6
39489_g_at	17.25	34.5	35.75	28	1	-30.85	8.4	46.75
39490_f_at	74.6	54.5	147.95	119.65	88.75	195.25	71.6	76
39491_s_at	38.1	4.7	27	31	22.75	40.75	1.75	-15.5
39492_at	4.75	-5.85	-18.25	-8.65	-0.75	-42.35	-14.4	-26.5
39493_at	-9.25	4.25	19.65	16.55	12.25	-13.15	0.65	22.6
39494_at	2.75	13.25	15.4	32.25	12.5	27.6	-0.65	8.5
39495_at	13.25	-5.5	-8.15	2.15	-5.6	-6	-7.4	11.5
39496_s_at	-13.4	33.35	-10	11	-7.75	-65.9	-35.15	-110.1
39497_at	-133.35	-206.2	-2.1	-35.35	-51.1	-66.25	-109.6	62.85
39498_at	-20.6	-1.5	-9.25	-12.85	-28.55	-51.35	0.45	-23.25
39499_s_at	16.5	11	45.15	46.1	13.4	28	25.6	53.25
395_at	5.35	-3.25	2.75	1.25	34.85	-0.15	3.15	-6.65
39500_s_at	102.35	117.4	90.75	124.9	178	474.4	124.75	274.65
39501_f_at	-126.75	-115.95	-41.75	-214.6	-19.35	-52.65	-98.75	-131.25
39502_at	-55.4	-23.25	-29.9	-37.35	-21.1	-92.25	16.65	-67.25
39503_s_at	173.95	306.65	317.5	377.1	30.25	41.6	-3.25	4.1
39504_at	-55.15	7.15	-21.5	-30	-25.75	-76	-40	-128.35
39505_at	-150.75	-151.4	-164.5	-238.5	-174.05	-253.25	-162.35	-257
39506_at	17.65	17.4	11.4	15.5	2	26.65	-4.15	8
39507_at	116.75	121.55	355.75	467.65	90.75	221.6	21.35	84.25
39508_at	41.65	16.4	39.4	16.75	22.25	59.9	28.8	62.4
39509_at	40.7	25.5	90	140	8.3	8.35	0.5	-12.35
39510_r_at	3.75	14.25	3.25	14.5	13.5	50.4	5.1	3.5
39511_at	77.95	36.15	74.15	85.9	52.5	168.65	57.35	129
39512_s_at	113.75	126.3	216.5	116.15	29.5	53.85	30.5	86.85
39513_r_at	20	6.85	47.25	98.5	-14.5	0.85	-6.65	-15.1
39514_s_at	-77.35	-68.35	-56.15	-122.4	-40	-92.65	-104.9	-130.25
39515_s_at	-4.85	18.9	-37.5	15.5	-1.75	21	-19.25	-49.25
39516_at	25.8	54.45	68.35	91.45	68.6	155.75	21.9	37.75
39517_at	168.5	253.5	212.5	313	144.25	434.4	67	100.1
39518_at	8.65	18.25	38.4	56.65	39.95	111.6	47.9	60.1
39519_at	37.5	40.85	17.5	62.5	19	61.6	13.25	6.3
39520_at	-3.55	-17.8	4.4	24.35	27.5	-16.6	5.4	-14.6
39521_at	49.25	96.25	62.65	24.1	112.5	137.6	43	29.4
39522_at	56.75	34.75	68.25	99.9	84.5	121	14.85	57.35
39523_at	10	29.6	167.35	227.6	-4.75	76.5	-0.65	26.35
39524_at	25	11.4	0.5	6.5	-12.6	-1.75	22.85	-1
39525_at	16.35	57.75	26.9	54.65	2.15	60.5	3.4	-25.5
39526_at	117.75	89.25	17.25	40.4	6.15	58.15	4.25	29.85
39527_at	9	32.2	35.35	30.3	29.85	61.25	23.1	53.25
39528_at	43.9	83.95	4.6	26.15	87.5	275.85	2	30.75
39529_at	-29.5	-20.65	-56.75	-45.5	-54.35	-67.75	-46.25	-33.1
39530_at	-15.5	-21.25	11.9	30.25	21	11.45	-7.35	9.5
39531_at	402	997.5	2832.35	3690.6	-20.15	-78	9.35	-28.35
39532_at	38	68.75	-14.15	-3.45	-15.75	-7.9	-11.95	10.55
39533_at	23.9	75.65	58.4	76.35	-0.4	42.35	-0.25	-10
39534_at	97.85	128.85	93.6	132.5	107.35	238.5	81.6	254.9
39535_at	38.15	97.75	27.4	33.5	120	65.75	43.5	145
39536_at	-23	-39	-65.5	-110.9	-152.25	-66.5	-127.9	-98.9
39537_at	840.8	2648.5	476.25	494.9	202.35	211.1	207.9	406
39538_at	-4.5	2.4	-21.9	-6.1	-35.1	-61.25	-7	-28.35
39539_at	21.75	53.25	10	-2.5	42.75	220.65	39.5	52.05
39540_at	611.25	944	2.95	-4.75	17.5	7.25	-5.95	-116.5
39541_at	31.9	35.65	64.9	89.2	30.6	82.5	53.8	96.1
39542_at	6845.95	10621	6506.25	8986.05	137.25	319.15	115.35	60
39543_at	5.15	-10.75	5.6	16.4	1.1	-20.35	-2.75	-21
39544_at	83.35	194.7	42.3	56.6	8.9	19	11.15	0.85
39545_at	782.85	1038.6	208.5	337.4	370.85	729.9	30.65	26
39546_s_at	63.75	45.7	54.85	49.3	16.1	49.15	39.75	33.25
39547_at	15.95	27.5	12.6	0.75	-7.85	-28.15	2.75	-25.55
39548_at	76.5	96.15	82.35	86.9	58.05	132.95	19.15	61.85
39549_at	30.5	120	72.25	92.75	9.5	56.5	1.15	-8.75
39550_at	438.25	687	314	372.5	83.5	142.1	61.1	120.75
39551_at	265.5	334	594.4	637.35	252.35	411.5	57.6	84.5
39552_at	23.9	12	34.15	61.35	9.65	2.6	14.8	20.6
39553_at	-1.25	7	5.95	-0.65	10.2	18.85	14.75	32.5
39554_at	1	-0.1	30.35	23.75	10.35	0.15	-9.15	-8.45
39555_at	9.5	22.85	15.65	14.75	-7.4	0.05	-15.15	-94.9
39556_at	139.5	233.6	214.75	356.15	55.9	215	48.25	28.5
39557_at	175.35	327.35	92.15	146.75	26.95	64.55	49.85	66.1
39558_s_at	-11.65	-2.75	-1.5	-4.5	4.75	35.35	9.8	-22.15
39559_at	36.25	1.75	24.5	-7.65	20.9	39.5	17.65	63.85
39560_at	300.25	727.25	222.5	382.85	84.5	157.95	41.85	25.65
39561_at	875.5	1609.35	549.75	752.9	100.5	286	90.5	50.75
39562_at	10.9	4.25	27.95	130	7.15	32.85	18.65	-32.85
39563_at	15.25	33.35	38.75	84.25	23.6	15.5	19.35	18.75
39564_s_at	-3.25	-21.85	-38.5	-52.5	-57.35	-60.75	-7.75	-59
39565_at	5	21.85	26.6	74.5	-21.5	11.5	-3.35	-10.4
39566_at	105.4	276.75	45.65	62.75	17.85	20.65	-0.45	2.85
39567_at	84.5	106.5	51.25	160.5	106.75	215.65	195.85	241
39568_g_at	90.25	127.25	133.35	171.25	228.25	456.4	314.35	557.5
39569_at	-78.25	-179.15	53.5	-15.35	-71.95	-193.5	-138.85	-285.55
39570_at	39.85	130.6	233.5	274.9	44.1	49.15	7.5	4.35
39571_at	-11	26.85	45.05	68.4	-2.75	20.35	-19.9	-0.85
39572_at	49.6	45.25	156.35	358	-12.25	22.4	11.25	14
39573_at	7.9	40.65	92	146.85	12.15	23.6	14.15	1.6
39574_at	69.5	131.5	108.75	91.15	17.5	38.15	-7.7	17.65
39575_at	105.65	226.6	71.35	131.6	26	30	19.1	76.6
39576_at	78.1	103.85	-4.15	-9.5	-17.7	-16.8	-3.5	-0.35
39577_at	25.9	29.4	112.3	109	25.65	14.85	10.75	1.35
39578_at	-33.35	12.6	14.4	-9.2	13.1	-1.25	-26	-93.1
39579_at	437.7	485.9	25.5	54.5	-10	2.35	-9.75	27.75
39580_at	133.75	194	83.6	120.8	51	96.15	44	32.75
39581_at	-3.75	13	-0.9	-17.85	53.25	56.9	5.9	10.25
39582_at	117.25	154.3	197.65	214.8	17.35	36.35	-23.25	15.35
39583_at	178.4	333	190.6	262.4	62.65	104.55	46.5	65
39584_at	245.9	328.35	503.9	700.15	6.25	31	16.25	17.65
39585_at	-8.55	6	9	4.5	-33.75	9	-24.25	-50.35
39586_at	18	44	72.3	43.6	74.6	61	78.65	198.1
39587_at	1.45	-7.6	-21.35	-34.6	-31.1	-17.85	-51.65	-54.65
39588_at	-12.6	33.15	-85.05	-138.75	-120.15	-123.35	-68.35	-191.25
39589_at	41.35	28.5	288.5	343	8.5	-5	-1.05	1.65
39590_at	834.75	1687.1	400.1	692.4	-5	-7.4	-4.25	16.6
39591_s_at	10.5	-0.4	0.25	11.5	19.6	58.85	19.75	34.5
39592_r_at	-0.85	-5.1	0.4	-5	5.4	9.75	-0.75	20.5
39593_at	-0.4	-8.35	-1	-13.4	1.15	17.5	6.9	9.1
39594_f_at	1414.85	2032.5	457.6	448.4	19407.75	23264.25	10458.15	13987
39595_at	5.85	0.9	21.5	14.75	3.75	1.4	-12.75	-24.35
39596_at	12.4	34.1	37.1	45.25	-17.9	1.6	-5.4	-45
39597_at	151	282	149	214.5	264.15	720.65	245.6	268.75
39598_at	73.65	177.35	47.5	22.5	370.25	656	1076.65	1585.25
39599_at	30.25	22.25	44.15	51.15	25.15	-0.6	5.25	43.2
396_f_at	393.8	681.3	498	473	2475	4098	789	2679.2
39600_at	28.15	64.15	60.6	87.65	9.75	23.15	0.35	17.15
39601_at	155.3	317.85	310.5	373.5	230.75	443.5	151.25	442
39602_at	122.35	219.55	121.05	98.35	-0.75	2.75	17.9	20.3
39603_at	0	12	21.75	5.5	32.75	22.85	12.15	48.25
39604_at	3.15	-12.4	13.65	14	-4.5	2.75	-1.85	-9.25
39605_at	952.25	2009.5	3919.15	5818	30.4	86	-12.2	-31.15
39606_at	33.75	40	92.5	83	104.15	238.75	32.25	197.75
39607_at	144	192.25	249.5	198.6	43.5	114.25	26.4	75.4
39608_at	4.85	1.25	-7.35	3.6	-20.85	0.3	-8.1	-12.25
39609_at	29.5	39	117.25	114.75	71.75	199.45	57.45	133
39610_at	-8.5	-7	-1.15	-9.1	-1.75	35.2	5.15	-17.5
39611_at	110	95.65	77.25	106.5	33	20.6	45.75	19.35
39612_at	26.5	36.3	67.5	63.1	-0.65	-31	-15.5	44
39613_at	21.65	25.25	30	23.35	64	213.9	23.75	36.4
39614_at	57.8	84.55	96.4	103.85	15.6	29.2	6.5	21.55
39615_at	542.65	1390.6	393.15	452.25	67.6	270.15	25.75	64.6
39616_at	5.7	12.4	-5.4	3.15	-18.75	-18.5	-8.2	-15
39617_at	13.15	17.7	22.35	4.5	26.6	18.1	4.4	-1.65
39618_at	11.25	8.85	5.15	50.25	2.35	4.75	0.75	-4
39619_at	448.9	926.35	316.9	505.75	-130.65	-135.9	-97.75	-234.75
39620_at	26.25	31.5	74	54.6	20.25	29.1	-4	-20.5
39621_at	79.1	95.5	95.5	136.8	8.85	-10.85	5.65	-1.85
39622_at	10.6	6.4	-1.65	2.3	5.2	21.75	-9.5	-0.6
39623_at	46.4	68.25	74.5	38.4	18.15	37.4	0.25	4.4
39624_at	21.25	42.1	29.75	38.85	96.4	232.9	5.3	0.9
39625_at	16	2.85	16.75	39	10.7	-9	14.85	-3.65
39626_s_at	9.4	15.25	39.35	50.8	15.5	35.5	9.1	18.4
39627_at	-4.9	-7.15	3.1	23.5	-19.15	-10.25	-4.5	-21.05
39628_at	134.35	83	97.65	123	76.9	140.25	20	50
39629_at	17.65	56.95	-50.4	-14.75	19.5	27.6	2.15	-9.9
39630_at	-1.9	-9.35	-3.25	-14.35	-16.5	-39.15	-41.25	7
39631_at	1.15	22.25	-11.4	-5.35	82.65	219.9	58.8	153.4
39632_at	2	5.9	-3.85	-6.5	-9.9	-20.15	4.65	-21.65
39633_at	5.5	-19	-7.5	-34.25	-54	-98.7	-10.2	-32.95
39634_at	141.4	274	287.25	295.15	31.75	65.4	-4.35	3.5
39635_at	65.6	57.5	107.35	142.5	14.15	15.65	23	7.4
39636_at	16.6	15	50.5	58	-9.15	33	20.85	48.15
39637_at	12.75	28.5	18.15	44.35	-1.25	30.25	4	-12.25
39638_at	193.25	272.1	339	285.65	69	109.55	39.75	45.65
39639_s_at	187.5	276.25	539.15	527.1	310.35	631.7	179	467
39640_at	237.15	398.2	226.65	297.5	75	248.1	7.35	206.65
39641_at	22.5	73.5	15.85	15.75	-3.5	9.1	-0.75	-5.6
39642_at	61.9	138.85	254.65	375.25	44.25	166.6	26.85	36.25
39643_at	6.6	16.25	24	39.25	26.1	27.1	13.7	15.25
39644_at	31.5	80.15	76.85	64.15	0.95	18.9	7.9	4.9
39645_r_at	9.35	-4.8	-14.1	-43.1	12.6	-8.5	5.75	-22.25
39646_at	73.15	102.25	31.5	37.5	-37.8	-18.25	-4.45	-42
39647_s_at	87.9	152.75	88.1	65.35	10.75	7.75	-0.9	-18.75
39648_at	31.65	18.55	30.35	32	33.25	63.15	26.5	41.25
39649_at	18.1	36.5	3.1	-8.1	20.75	148	-45.4	30.65
39650_s_at	153.65	206.25	148.5	187.75	57.9	113.35	63	240
39651_at	0.25	-10.5	-54.9	-16.5	5.5	6.45	-3.75	-90.15
39652_at	-1.75	10.75	1.25	1.25	11	22	6.5	5.15
39653_at	1.1	15.5	3.9	30.85	2	10.9	-2.25	9.25
39654_at	59.85	77.75	7	-0.65	8	-9.4	20.6	3.35
39655_at	3.6	3.1	23	27.1	26.25	28.85	4	31.6
39656_at	79.15	147.5	58.3	57.35	26	80.85	-1.4	144.15
39657_at	44.05	170.75	83.25	36.25	-29.5	96.6	54.15	77.85
39658_at	39.25	45.65	50.75	52.35	-0.7	14.4	4.5	20.5
39659_at	202.65	228.75	110.8	185.95	362.9	755.9	152.55	442
39660_at	50.5	38.25	54.4	54.85	63.15	265.6	527.25	1041.65
39661_s_at	30.15	62.4	10.6	31	35.25	39.9	-6.6	37.4
39662_s_at	4.65	5.9	30.65	-16.1	-8.25	-88.7	-17.45	-63.05
39663_at	54.75	18.85	87	76.4	101.65	156.9	23	80
39664_at	28.25	-1.5	19.2	9.55	3.65	-11.25	-6.95	-24.1
39665_at	1924.25	1769.6	320.5	487.25	-34	2	-9.85	-27.9
39666_at	82	110	180.75	215.65	41.25	56.15	-5.75	-7.4
39667_at	204.15	247.6	274	241.35	77.9	38.35	79.3	275.55
39668_at	98.85	53.9	49.5	159.15	51.5	225.75	112	276.4
39669_at	24.1	39.5	-1.75	32.25	96.6	392.25	191.75	439
39670_at	102.15	165.75	71.85	76.65	38.5	74.5	34.15	230.25
39671_at	194.15	188	410.75	446.6	8.35	21.5	4	-14.65
39672_at	29.6	29.75	43.6	30.15	88.6	154.85	15.5	93.1
39673_i_at	44.5	61.7	21.2	46	57.7	138.7	-1.5	-0.7
39674_r_at	18.85	8	39.15	26.85	17.85	40.1	-1.9	77.25
39675_at	-39.35	-13.65	-26.65	-52.5	-53.85	-109.4	-38.05	-58.9
39676_at	20.5	18.9	23.75	45.25	-2.75	7.65	-0.25	44.5
39677_at	35.65	23.75	22	35.9	44.35	44.5	1.85	11.85
39678_at	23	18.75	19.6	55.55	34.15	14.4	1.25	-3.45
39679_at	-94.6	-139.15	-90.85	-174.7	-120.5	-128.75	-93	-149
39680_at	1	-5.9	13.1	20	8.9	9.4	15	16.9
39681_at	104.6	234.1	49.3	50.75	108.1	269.4	70.75	281.4
39682_at	-19.65	-39.35	8.1	14.75	40.65	37.6	-13.5	48.9
39683_at	35.6	16.4	3	26.85	34.6	28.5	-41.2	-96.75
39684_at	62.4	54.4	70.5	86	30.85	34.65	-4.75	87.15
39685_at	1125	1437.85	1124.25	1503.6	386	676.15	115.75	145.75
39686_g_at	280.25	476.35	631.25	1018.25	84.25	562.25	26.55	94.4
39687_at	87.4	142.25	140.35	225.9	62.85	110.15	4.5	39.75
39688_at	389.9	752.85	137.75	115.25	304.85	355.15	64.5	117.25
39689_at	471.6	434	239.7	256.65	315.85	499.15	316.65	959.6
39690_at	18.65	37.15	16.1	18.85	4.65	18.65	7.6	-2.85
39691_at	106	73.35	535	756.75	27.5	52.5	30.7	7
39692_at	51.35	70.1	14.5	20.6	124.25	295.25	36.4	42.15
39693_at	37.6	175.85	36.25	59.55	18.75	105.45	45.6	105.4
